Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C4","0.1uF","R_0805_2012Metric",184.454800,-171.653200,45.000000,bottom
"C5","0.1uF","R_0805_2012Metric",165.963600,-170.738800,-45.000000,bottom
"C6","0.1uF","R_0805_2012Metric",164.795200,-162.814000,-90.000000,bottom
"C7","10uF","R_0805_2012Metric",181.102000,-160.250500,-45.000000,bottom
"C8","22pF","R_0805_2012Metric",194.671501,-159.027500,-90.000000,bottom
"C9","22pF","R_0805_2012Metric",188.044001,-159.027500,90.000000,bottom
"C10","1uF","R_0805_2012Metric",167.845100,-163.525200,180.000000,bottom
"D1","D_Small","D_SOD-123",215.528320,-186.414500,90.000000,bottom
"D2","D_Small","D_SOD-123",234.578320,-186.414500,90.000000,bottom
"D3","D_Small","D_SOD-123",254.000000,-186.056000,90.000000,bottom
"D4","D_Small","D_SOD-123",272.669000,-186.056000,90.000000,bottom
"D5","D_Small","D_SOD-123",291.719000,-186.055000,90.000000,bottom
"D6","D_Small","D_SOD-123",310.769000,-186.055000,90.000000,bottom
"D7","D_Small","D_SOD-123",329.819000,-186.056000,90.000000,bottom
"D8","D_Small","D_SOD-123",348.869000,-186.055000,90.000000,bottom
"D9","D_Small","D_SOD-123",367.919000,-186.055000,90.000000,bottom
"D10","D_Small","D_SOD-123",386.969000,-186.055000,90.000000,bottom
"D11","D_Small","D_SOD-123",406.146000,-186.055000,90.000000,bottom
"D12","D_Small","D_SOD-123",425.069000,-186.055000,90.000000,bottom
"D13","D_Small","D_SOD-123",444.119000,-186.055000,90.000000,bottom
"D14","D_Small","D_SOD-123",225.044000,-205.232000,90.000000,bottom
"D15","D_Small","D_SOD-123",244.094000,-205.232000,90.000000,bottom
"D16","D_Small","D_SOD-123",263.144000,-205.231000,90.000000,bottom
"D17","D_Small","D_SOD-123",282.194000,-205.232000,90.000000,bottom
"D18","D_Small","D_SOD-123",301.244000,-205.232000,90.000000,bottom
"D19","D_Small","D_SOD-123",320.294000,-205.232000,90.000000,bottom
"D20","D_Small","D_SOD-123",339.344000,-205.232000,90.000000,bottom
"D21","D_Small","D_SOD-123",358.394000,-205.232000,90.000000,bottom
"D22","D_Small","D_SOD-123",377.444000,-205.232000,90.000000,bottom
"D23","D_Small","D_SOD-123",396.494000,-205.232000,90.000000,bottom
"D24","D_Small","D_SOD-123",415.544000,-205.232000,90.000000,bottom
"D25","D_Small","D_SOD-123",434.594000,-205.232000,90.000000,bottom
"D26","D_Small","D_SOD-123",453.517000,-205.232000,90.000000,bottom
"D27","D_Small","D_SOD-123",458.470000,-205.232000,90.000000,bottom
"D28","D_Small","D_SOD-123",453.644000,-186.055000,90.000000,bottom
"D29","D_Small","D_SOD-123",222.631000,-224.282000,90.000000,bottom
"D30","D_Small","D_SOD-123",248.793000,-224.282000,90.000000,bottom
"D31","D_Small","D_SOD-123",267.970000,-224.282000,90.000000,bottom
"D32","D_Small","D_SOD-123",286.893000,-224.282000,90.000000,bottom
"D33","D_Small","D_SOD-123",306.070000,-224.282000,90.000000,bottom
"D34","D_Small","D_SOD-123",324.993000,-224.282000,90.000000,bottom
"D35","D_Small","D_SOD-123",344.043000,-224.282000,90.000000,bottom
"D36","D_Small","D_SOD-123",363.220000,-224.282000,90.000000,bottom
"D37","D_Small","D_SOD-123",382.143000,-224.282000,90.000000,bottom
"D38","D_Small","D_SOD-123",401.193000,-224.282000,90.000000,bottom
"D39","D_Small","D_SOD-123",420.243000,-224.282000,90.000000,bottom
"D40","D_Small","D_SOD-123",439.293000,-224.282000,90.000000,bottom
"D41","D_Small","D_SOD-123",451.231000,-224.282000,90.000000,bottom
"D42","D_Small","D_SOD-123",227.330000,-243.459000,90.000000,bottom
"D43","D_Small","D_SOD-123",258.318000,-243.458000,90.000000,bottom
"D44","D_Small","D_SOD-123",277.368000,-243.459000,90.000000,bottom
"D45","D_Small","D_SOD-123",296.418000,-243.459000,90.000000,bottom
"D46","D_Small","D_SOD-123",315.468000,-243.459000,90.000000,bottom
"D47","D_Small","D_SOD-123",334.518000,-243.459000,90.000000,bottom
"D48","D_Small","D_SOD-123",353.441000,-243.459000,90.000000,bottom
"D49","D_Small","D_SOD-123",372.618000,-243.459000,90.000000,bottom
"D50","D_Small","D_SOD-123",391.922000,-243.458000,90.000000,bottom
"D51","D_Small","D_SOD-123",410.718000,-243.459000,90.000000,bottom
"D52","D_Small","D_SOD-123",417.957000,-243.459000,90.000000,bottom
"D53","D_Small","D_SOD-123",443.992000,-243.459000,90.000000,bottom
"D54","D_Small","D_SOD-123",463.169000,-243.459000,90.000000,bottom
"D55","D_Small","D_SOD-123",217.805000,-262.382000,90.000000,bottom
"D56","D_Small","D_SOD-123",241.681000,-262.382000,90.000000,bottom
"D57","D_Small","D_SOD-123",265.430000,-262.382000,90.000000,bottom
"D58","D_Small","D_SOD-123",279.781000,-262.382000,90.000000,bottom
"D59","D_Small","D_SOD-123",341.757000,-262.382000,90.000000,bottom
"D60","D_Small","D_SOD-123",375.031000,-262.382000,90.000000,bottom
"D61","D_Small","D_SOD-123",386.969000,-262.382000,90.000000,bottom
"D62","D_Small","D_SOD-123",406.019000,-262.382000,90.000000,bottom
"D63","D_Small","D_SOD-123",425.069000,-262.382000,90.000000,bottom
"D64","D_Small","D_SOD-123",444.119000,-262.382000,90.000000,bottom
"D65","D_Small","D_SOD-123",463.169000,-262.382000,90.000000,bottom
"D66","PRTR5V0U2X","SOT-143",142.189200,-163.525200,-90.000000,bottom
"D67","D_Small","D_SOD-123",303.530000,-262.382000,90.000000,bottom
"D68","D_Small","D_SOD-123",318.008000,-262.382000,90.000000,bottom
"D78","D_Small","D_SOD-123",134.493000,-186.308000,90.000000,bottom
"D80","D_Small","D_SOD-123",153.543000,-186.309000,90.000000,bottom
"D81","D_Small","D_SOD-123",172.593000,-186.309000,90.000000,bottom
"D83","D_Small","D_SOD-123",191.643000,-186.309000,90.000000,bottom
"D86","D_Small","D_SOD-123",215.569800,-173.404800,90.000000,bottom
"D87","D_Small","D_SOD-123",239.318800,-173.404800,90.000000,bottom
"D88","D_Small","D_SOD-123",258.368800,-173.404800,90.000000,bottom
"D89","D_Small","D_SOD-123",277.418800,-173.404800,90.000000,bottom
"D90","D_Small","D_SOD-123",296.468800,-173.403800,90.000000,bottom
"D91","D_Small","D_SOD-123",463.169000,-167.259000,90.000000,bottom
"D92","D_Small","D_SOD-123",320.344800,-173.403800,90.000000,bottom
"D93","D_Small","D_SOD-123",339.394800,-173.403800,90.000000,bottom
"D94","D_Small","D_SOD-123",358.457209,-167.256187,90.000000,bottom
"D95","D_Small","D_SOD-123",377.444000,-167.259000,90.000000,bottom
"D96","D_Small","D_SOD-123",401.320000,-167.259000,90.000000,bottom
"D97","D_Small","D_SOD-123",420.370000,-167.259000,90.000000,bottom
"D98","D_Small","D_SOD-123",439.420000,-167.259000,90.000000,bottom
"D99","D_Small","D_SOD-123",458.470000,-167.259000,90.000000,bottom
"D101","D_Small","D_SOD-123",134.493000,-205.231000,90.000000,bottom
"D102","D_Small","D_SOD-123",122.047000,-175.006000,180.000000,bottom
"D103","D_Small","D_SOD-123",127.762000,-175.006000,0.000000,bottom
"D104","D_Small","D_SOD-123",153.543000,-205.232000,90.000000,bottom
"D105","D_Small","D_SOD-123",171.196000,-205.232000,90.000000,bottom
"D106","D_Small","D_SOD-123",173.990000,-208.534000,-90.000000,bottom
"D107","D_Small","D_SOD-123",134.493000,-229.743000,90.000000,bottom
"D108","D_Small","D_SOD-123",153.543000,-229.743000,90.000000,bottom
"D109","D_Small","D_SOD-123",172.720000,-229.743000,90.000000,bottom
"D110","D_Small","D_SOD-123",134.493000,-243.458000,90.000000,bottom
"D111","D_Small","D_SOD-123",153.543000,-243.459000,90.000000,bottom
"D112","D_Small","D_SOD-123",172.593000,-243.459000,90.000000,bottom
"D113","D_Small","D_SOD-123",191.643000,-245.618000,-90.000000,bottom
"D114","D_Small","D_SOD-123",144.034910,-261.359410,90.000000,bottom
"D115","D_Small","D_SOD-123",153.543000,-261.365000,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",151.979300,-158.394400,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",140.970000,-155.269000,0.000000,bottom
"R1","22","R_0805_2012Metric",146.048100,-164.541200,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",132.943600,-157.988000,180.000000,bottom
"R3","5.1k","R_0805_2012Metric",147.726400,-158.851600,-90.000000,bottom
"R4","22","R_0805_2012Metric",146.048100,-162.509200,0.000000,bottom
"R7","10k","R_0805_2012Metric",145.237200,-173.075600,-90.000000,bottom
"R10","10k","R_0805_2012Metric",172.926607,-178.190285,-45.000000,bottom
"SW3","SW_Push","SW_SPST_SKQG_WithStem",139.521000,-172.140000,180.000000,bottom
"U3","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",175.260000,-168.783000,-45.000000,bottom
"Y2","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",191.369500,-159.027500,180.000000,bottom
