Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,R_0805_2012Metric,167.8451,-163.5252,0.0,bottom
C4,0.1uF,R_0805_2012Metric,184.4548,-171.6532,135.0,bottom
C5,0.1uF,R_0805_2012Metric,165.9636,-170.7388,225.0,bottom
C6,0.1uF,R_0805_2012Metric,164.7952,-162.814,270.0,bottom
C7,10uF,R_0805_2012Metric,181.102,-160.2505,225.0,bottom
C8,22pF,R_0805_2012Metric,194.671501,-159.0275,270.0,bottom
C9,22pF,R_0805_2012Metric,188.044001,-159.0275,90.0,bottom
D1,D_Small,D_SOD-123,215.52832,-186.4145,90.0,bottom
D10,D_Small,D_SOD-123,386.969,-186.055,90.0,bottom
D101,D_Small,D_SOD-123,134.493,-205.231,90.0,bottom
D102,D_Small,D_SOD-123,122.047,-175.006,0.0,bottom
D103,D_Small,D_SOD-123,127.762,-175.006,180.0,bottom
D104,D_Small,D_SOD-123,153.543,-205.232,90.0,bottom
D105,D_Small,D_SOD-123,171.196,-205.232,90.0,bottom
D106,D_Small,D_SOD-123,173.99,-208.534,270.0,bottom
D107,D_Small,D_SOD-123,134.493,-229.743,90.0,bottom
D108,D_Small,D_SOD-123,153.543,-229.743,90.0,bottom
D109,D_Small,D_SOD-123,172.72,-229.743,90.0,bottom
D11,D_Small,D_SOD-123,406.146,-186.055,90.0,bottom
D110,D_Small,D_SOD-123,134.493,-243.458,90.0,bottom
D111,D_Small,D_SOD-123,153.543,-243.459,90.0,bottom
D112,D_Small,D_SOD-123,172.593,-243.459,90.0,bottom
D113,D_Small,D_SOD-123,191.643,-245.618,270.0,bottom
D114,D_Small,D_SOD-123,144.03491,-261.35941,90.0,bottom
D115,D_Small,D_SOD-123,153.543,-261.365,90.0,bottom
D12,D_Small,D_SOD-123,425.069,-186.055,90.0,bottom
D13,D_Small,D_SOD-123,444.119,-186.055,90.0,bottom
D14,D_Small,D_SOD-123,225.044,-205.232,90.0,bottom
D15,D_Small,D_SOD-123,244.094,-205.232,90.0,bottom
D16,D_Small,D_SOD-123,263.144,-205.231,90.0,bottom
D17,D_Small,D_SOD-123,282.194,-205.232,90.0,bottom
D18,D_Small,D_SOD-123,301.244,-205.232,90.0,bottom
D19,D_Small,D_SOD-123,320.294,-205.232,90.0,bottom
D2,D_Small,D_SOD-123,234.57832,-186.4145,90.0,bottom
D20,D_Small,D_SOD-123,339.344,-205.232,90.0,bottom
D21,D_Small,D_SOD-123,358.394,-205.232,90.0,bottom
D22,D_Small,D_SOD-123,377.444,-205.232,90.0,bottom
D23,D_Small,D_SOD-123,396.494,-205.232,90.0,bottom
D24,D_Small,D_SOD-123,415.544,-205.232,90.0,bottom
D25,D_Small,D_SOD-123,434.594,-205.232,90.0,bottom
D26,D_Small,D_SOD-123,453.517,-205.232,90.0,bottom
D27,D_Small,D_SOD-123,458.47,-205.232,90.0,bottom
D28,D_Small,D_SOD-123,453.644,-186.055,90.0,bottom
D29,D_Small,D_SOD-123,222.631,-224.282,90.0,bottom
D3,D_Small,D_SOD-123,254.0,-186.056,90.0,bottom
D30,D_Small,D_SOD-123,248.793,-224.282,90.0,bottom
D31,D_Small,D_SOD-123,267.97,-224.282,90.0,bottom
D32,D_Small,D_SOD-123,286.893,-224.282,90.0,bottom
D33,D_Small,D_SOD-123,306.07,-224.282,90.0,bottom
D34,D_Small,D_SOD-123,324.993,-224.282,90.0,bottom
D35,D_Small,D_SOD-123,344.043,-224.282,90.0,bottom
D36,D_Small,D_SOD-123,363.22,-224.282,90.0,bottom
D37,D_Small,D_SOD-123,382.143,-224.282,90.0,bottom
D38,D_Small,D_SOD-123,401.193,-224.282,90.0,bottom
D39,D_Small,D_SOD-123,420.243,-224.282,90.0,bottom
D4,D_Small,D_SOD-123,272.669,-186.056,90.0,bottom
D40,D_Small,D_SOD-123,439.293,-224.282,90.0,bottom
D41,D_Small,D_SOD-123,451.231,-224.282,90.0,bottom
D42,D_Small,D_SOD-123,227.33,-243.459,90.0,bottom
D43,D_Small,D_SOD-123,258.318,-243.458,90.0,bottom
D44,D_Small,D_SOD-123,277.368,-243.459,90.0,bottom
D45,D_Small,D_SOD-123,296.418,-243.459,90.0,bottom
D46,D_Small,D_SOD-123,315.468,-243.459,90.0,bottom
D47,D_Small,D_SOD-123,334.518,-243.459,90.0,bottom
D48,D_Small,D_SOD-123,353.441,-243.459,90.0,bottom
D49,D_Small,D_SOD-123,372.618,-243.459,90.0,bottom
D5,D_Small,D_SOD-123,291.719,-186.055,90.0,bottom
D50,D_Small,D_SOD-123,391.922,-243.458,90.0,bottom
D51,D_Small,D_SOD-123,410.718,-243.459,90.0,bottom
D52,D_Small,D_SOD-123,417.957,-243.459,90.0,bottom
D53,D_Small,D_SOD-123,443.992,-243.459,90.0,bottom
D54,D_Small,D_SOD-123,463.169,-243.459,90.0,bottom
D55,D_Small,D_SOD-123,217.805,-262.382,90.0,bottom
D56,D_Small,D_SOD-123,241.681,-262.382,90.0,bottom
D57,D_Small,D_SOD-123,265.43,-262.382,90.0,bottom
D58,D_Small,D_SOD-123,279.781,-262.382,90.0,bottom
D59,D_Small,D_SOD-123,341.757,-262.382,90.0,bottom
D6,D_Small,D_SOD-123,310.769,-186.055,90.0,bottom
D60,D_Small,D_SOD-123,375.031,-262.382,90.0,bottom
D61,D_Small,D_SOD-123,386.969,-262.382,90.0,bottom
D62,D_Small,D_SOD-123,406.019,-262.382,90.0,bottom
D63,D_Small,D_SOD-123,425.069,-262.382,90.0,bottom
D64,D_Small,D_SOD-123,444.119,-262.382,90.0,bottom
D65,D_Small,D_SOD-123,463.169,-262.382,90.0,bottom
D66,PRTR5V0U2X,SOT-143,142.1892,-163.5252,270.0,bottom
D67,D_Small,D_SOD-123,303.53,-262.382,90.0,bottom
D68,D_Small,D_SOD-123,318.008,-262.382,90.0,bottom
D7,D_Small,D_SOD-123,329.819,-186.056,90.0,bottom
D78,D_Small,D_SOD-123,134.493,-186.308,90.0,bottom
D8,D_Small,D_SOD-123,348.869,-186.055,90.0,bottom
D80,D_Small,D_SOD-123,153.543,-186.309,90.0,bottom
D81,D_Small,D_SOD-123,172.593,-186.309,90.0,bottom
D83,D_Small,D_SOD-123,191.643,-186.309,90.0,bottom
D86,D_Small,D_SOD-123,215.5698,-173.4048,90.0,bottom
D87,D_Small,D_SOD-123,239.3188,-173.4048,90.0,bottom
D88,D_Small,D_SOD-123,258.3688,-173.4048,90.0,bottom
D89,D_Small,D_SOD-123,277.4188,-173.4048,90.0,bottom
D9,D_Small,D_SOD-123,367.919,-186.055,90.0,bottom
D90,D_Small,D_SOD-123,296.4688,-173.4038,90.0,bottom
D91,D_Small,D_SOD-123,463.169,-167.259,90.0,bottom
D92,D_Small,D_SOD-123,320.3448,-173.4038,90.0,bottom
D93,D_Small,D_SOD-123,339.3948,-173.4038,90.0,bottom
D94,D_Small,D_SOD-123,358.457209,-167.256187,90.0,bottom
D95,D_Small,D_SOD-123,377.444,-167.259,90.0,bottom
D96,D_Small,D_SOD-123,401.32,-167.259,90.0,bottom
D97,D_Small,D_SOD-123,420.37,-167.259,90.0,bottom
D98,D_Small,D_SOD-123,439.42,-167.259,90.0,bottom
D99,D_Small,D_SOD-123,458.47,-167.259,90.0,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,151.9793,-158.3944,180.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,140.97,-156.729,180.0,bottom
R1,5.1k,R_0805_2012Metric,146.0481,-164.5412,180.0,bottom
R10,10k,R_0805_2012Metric,172.926607,-178.190285,225.0,bottom
R2,5.1k,R_0805_2012Metric,132.9436,-157.988,0.0,bottom
R3,5.1k,R_0805_2012Metric,147.7264,-158.8516,270.0,bottom
R4,5.1k,R_0805_2012Metric,146.0481,-162.5092,180.0,bottom
R7,10k,R_0805_2012Metric,145.2372,-173.0756,270.0,bottom
SW3,SW_Push,SW_SPST_SKQG_WithStem,139.521,-172.14,0.0,bottom
U3,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,175.26,-168.783,225.0,bottom
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,191.3695,-159.0275,0.0,bottom
